clean,corrupted,correct_idx,template_label
The impact lasted from the year 1323 to the year 13,The impact lasted from the year 1301 to the year 13,23,2
The employment lasted from the year 1423 to the year 14,The employment lasted from the year 1401 to the year 14,23,2
The operation lasted from the year 1211 to the year 12,The operation lasted from the year 1201 to the year 12,11,1
The process lasted from the year 1264 to the year 12,The process lasted from the year 1201 to the year 12,64,6
The process lasted from the year 1607 to the year 16,The process lasted from the year 1601 to the year 16,7,0
The existence lasted from the year 1658 to the year 16,The existence lasted from the year 1601 to the year 16,58,5
The employment lasted from the year 1610 to the year 16,The employment lasted from the year 1601 to the year 16,10,1
The process lasted from the year 1528 to the year 15,The process lasted from the year 1501 to the year 15,28,2
The impact lasted from the year 1522 to the year 15,The impact lasted from the year 1501 to the year 15,22,2
The riot lasted from the year 1396 to the year 13,The riot lasted from the year 1301 to the year 13,96,9
The contact lasted from the year 1675 to the year 16,The contact lasted from the year 1601 to the year 16,75,7
The plan lasted from the year 1284 to the year 12,The plan lasted from the year 1201 to the year 12,84,8
The contract lasted from the year 1588 to the year 15,The contract lasted from the year 1501 to the year 15,88,8
The plan lasted from the year 1587 to the year 15,The plan lasted from the year 1501 to the year 15,87,8
The employment lasted from the year 1442 to the year 14,The employment lasted from the year 1401 to the year 14,42,4
The tests lasted from the year 1531 to the year 15,The tests lasted from the year 1501 to the year 15,31,3
The plan lasted from the year 1582 to the year 15,The plan lasted from the year 1501 to the year 15,82,8
The tests lasted from the year 1281 to the year 12,The tests lasted from the year 1201 to the year 12,81,8
The work lasted from the year 1339 to the year 13,The work lasted from the year 1301 to the year 13,39,3
The plan lasted from the year 1673 to the year 16,The plan lasted from the year 1601 to the year 16,73,7
The trip lasted from the year 1254 to the year 12,The trip lasted from the year 1201 to the year 12,54,5
The campaign lasted from the year 1649 to the year 16,The campaign lasted from the year 1601 to the year 16,49,4
The project lasted from the year 1547 to the year 15,The project lasted from the year 1501 to the year 15,47,4
The effect lasted from the year 1364 to the year 13,The effect lasted from the year 1301 to the year 13,64,6
The case lasted from the year 1645 to the year 16,The case lasted from the year 1601 to the year 16,45,4
The plan lasted from the year 1179 to the year 11,The plan lasted from the year 1101 to the year 11,79,7
The trial lasted from the year 1530 to the year 15,The trial lasted from the year 1501 to the year 15,30,3
The shift lasted from the year 1676 to the year 16,The shift lasted from the year 1601 to the year 16,76,7
The existence lasted from the year 1705 to the year 17,The existence lasted from the year 1701 to the year 17,5,0
The riot lasted from the year 1442 to the year 14,The riot lasted from the year 1401 to the year 14,42,4
The operation lasted from the year 1242 to the year 12,The operation lasted from the year 1201 to the year 12,42,4
The contact lasted from the year 1705 to the year 17,The contact lasted from the year 1701 to the year 17,5,0
The employment lasted from the year 1796 to the year 17,The employment lasted from the year 1701 to the year 17,96,9
The rule lasted from the year 1227 to the year 12,The rule lasted from the year 1201 to the year 12,27,2
The project lasted from the year 1677 to the year 16,The project lasted from the year 1601 to the year 16,77,7
The growth lasted from the year 1385 to the year 13,The growth lasted from the year 1301 to the year 13,85,8
The impact lasted from the year 1482 to the year 14,The impact lasted from the year 1401 to the year 14,82,8
The testing lasted from the year 1798 to the year 17,The testing lasted from the year 1701 to the year 17,98,9
The project lasted from the year 1771 to the year 17,The project lasted from the year 1701 to the year 17,71,7
The operation lasted from the year 1204 to the year 12,The operation lasted from the year 1201 to the year 12,4,0
The testing lasted from the year 1550 to the year 15,The testing lasted from the year 1501 to the year 15,50,5
The trial lasted from the year 1633 to the year 16,The trial lasted from the year 1601 to the year 16,33,3
The development lasted from the year 1754 to the year 17,The development lasted from the year 1701 to the year 17,54,5
The riot lasted from the year 1524 to the year 15,The riot lasted from the year 1501 to the year 15,24,2
The riot lasted from the year 1238 to the year 12,The riot lasted from the year 1201 to the year 12,38,3
The test lasted from the year 1357 to the year 13,The test lasted from the year 1301 to the year 13,57,5
The study lasted from the year 1557 to the year 15,The study lasted from the year 1501 to the year 15,57,5
The progress lasted from the year 1382 to the year 13,The progress lasted from the year 1301 to the year 13,82,8
The practice lasted from the year 1407 to the year 14,The practice lasted from the year 1401 to the year 14,7,0
The marriage lasted from the year 1565 to the year 15,The marriage lasted from the year 1501 to the year 15,65,6
The test lasted from the year 1281 to the year 12,The test lasted from the year 1201 to the year 12,81,8
The fall lasted from the year 1742 to the year 17,The fall lasted from the year 1701 to the year 17,42,4
The test lasted from the year 1457 to the year 14,The test lasted from the year 1401 to the year 14,57,5
The campaign lasted from the year 1389 to the year 13,The campaign lasted from the year 1301 to the year 13,89,8
The development lasted from the year 1628 to the year 16,The development lasted from the year 1601 to the year 16,28,2
The existence lasted from the year 1284 to the year 12,The existence lasted from the year 1201 to the year 12,84,8
The impact lasted from the year 1391 to the year 13,The impact lasted from the year 1301 to the year 13,91,9
The study lasted from the year 1415 to the year 14,The study lasted from the year 1401 to the year 14,15,1
The plan lasted from the year 1720 to the year 17,The plan lasted from the year 1701 to the year 17,20,2
The program lasted from the year 1687 to the year 16,The program lasted from the year 1601 to the year 16,87,8
The attack lasted from the year 1691 to the year 16,The attack lasted from the year 1601 to the year 16,91,9
The practice lasted from the year 1774 to the year 17,The practice lasted from the year 1701 to the year 17,74,7
The contact lasted from the year 1723 to the year 17,The contact lasted from the year 1701 to the year 17,23,2
The progress lasted from the year 1258 to the year 12,The progress lasted from the year 1201 to the year 12,58,5
The attack lasted from the year 1386 to the year 13,The attack lasted from the year 1301 to the year 13,86,8
The progress lasted from the year 1417 to the year 14,The progress lasted from the year 1401 to the year 14,17,1
The tests lasted from the year 1774 to the year 17,The tests lasted from the year 1701 to the year 17,74,7
The marriage lasted from the year 1250 to the year 12,The marriage lasted from the year 1201 to the year 12,50,5
The effect lasted from the year 1222 to the year 12,The effect lasted from the year 1201 to the year 12,22,2
The work lasted from the year 1220 to the year 12,The work lasted from the year 1201 to the year 12,20,2
The marriage lasted from the year 1423 to the year 14,The marriage lasted from the year 1401 to the year 14,23,2
The test lasted from the year 1582 to the year 15,The test lasted from the year 1501 to the year 15,82,8
The employment lasted from the year 1209 to the year 12,The employment lasted from the year 1201 to the year 12,9,0
The fall lasted from the year 1459 to the year 14,The fall lasted from the year 1401 to the year 14,59,5
The testing lasted from the year 1752 to the year 17,The testing lasted from the year 1701 to the year 17,52,5
