clean,corrupted,colon_newline,template_idx,template_text,template_label,variant_idx,branch_style
"if (nums <= 24):
    return reduce_score(total, value)
elif","if (nums <= 24):
    return reduce_score(total, value)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,12,elif
"if room_num:
    set_parameter(board_instance, slot_param, room_name + ' - ' + room_num)
elif","if room_num:
    set_parameter(board_instance, slot_param, room_name + ' - ' + room_num)
else",0,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_elif,32,elif
"if room_num:
    set_parameter(board_instance, slot_param, cell_name + ' - ' + room_num)
else","if room_num:
    set_parameter(board_instance, slot_param, cell_name + ' - ' + room_num)
elif",1,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_else,34,else
"if data[index] < value:
    last_idx = index
    floor_idx = index + 1
else","if data[index] < value:
    last_idx = index
    floor_idx = index + 1
elif",1,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_else,21,else
"if isl_constraint.is_equality():
    return solver_expr == -coefs['1']
elif","if isl_constraint.is_equality():
    return solver_expr == -coefs['1']
else",0,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_elif,21,elif
"if data[index] < value:
    stop_idx = index
    left_idx = index + 1
else","if data[index] < value:
    stop_idx = index
    left_idx = index + 1
elif",1,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_else,34,else
"if data[index] < value:
    result = index
    low = index + 1
else","if data[index] < value:
    result = index
    low = index + 1
elif",1,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_else,0,else
"if (nums <= 20):
    return reduce_score(total, value)
elif","if (nums <= 20):
    return reduce_score(total, value)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,7,elif
"if arr[y][column] == self.C[0]:
    arr[y][column] = 1
elif","if arr[y][column] == self.C[0]:
    arr[y][column] = 1
else",0,13,"if [BOARD_VAR][[ROW_VAR]][[COL_VAR]] == [OFF_VAR]:
    [BOARD_VAR][[ROW_VAR]][[COL_VAR]] = 1
else",cell_toggle_elif,25,elif
"if label_counts[sample.topic] >= target_size:
    redistribute_nodes.append(sample)
else","if label_counts[sample.topic] >= target_size:
    redistribute_nodes.append(sample)
elif",1,2,"if [COUNT_MAP][[NODE_VAR].topic] >= [TARGET_VAR]:
    [REDIST_LIST].append([NODE_VAR])
else",append_guard_else,5,else
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], key, branch)
    elif","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], key, branch)
    else",0,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_elif,39,elif
"if eval(problem) == guess:
    print(""clear"")
else","if eval(problem) == guess:
    print(""clear"")
elif",1,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_else,9,else
"if data[index] < value:
    result = index
    scan_low = index + 1
else","if data[index] < value:
    result = index
    scan_low = index + 1
elif",1,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_else,6,else
"if end is None:
    goal = (maze_rows-1, grid_cols-1)
elif","if end is None:
    goal = (maze_rows-1, grid_cols-1)
else",0,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_elif,23,elif
"if end is None:
    goal = (self.num_rows-1, self.num_cols-1)
else","if end is None:
    goal = (self.num_rows-1, self.num_cols-1)
elif",1,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_else,0,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{other},{sample}"")
elif","if random.random() < 0.5:
    constraint_list.append(f""ML,{other},{sample}"")
else",0,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_elif,13,elif
"if time > prev_time:
    queue_time = prev_time + 1
else","if time > prev_time:
    queue_time = prev_time + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,21,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{peer},{sample}"")
elif","if random.random() < 0.5:
    constraint_list.append(f""ML,{peer},{sample}"")
else",0,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_elif,5,elif
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], label, route)
    elif","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], label, route)
    else",0,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_elif,10,elif
"if strategy == 'bfs':
    return bfs(start, visited, goal_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, goal_test, next_nodes)
elif","if strategy == 'bfs':
    return bfs(start, visited, goal_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, goal_test, next_nodes)
else",0,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_elif,2,elif
"if (count <= 15):
    return walk_path(size, count)
elif","if (count <= 15):
    return walk_path(size, count)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,28,elif
"if label_counts[record.topic] >= target_size:
    retry_nodes.append(record)
else","if label_counts[record.topic] >= target_size:
    retry_nodes.append(record)
elif",1,2,"if [COUNT_MAP][[NODE_VAR].topic] >= [TARGET_VAR]:
    [REDIST_LIST].append([NODE_VAR])
else",append_guard_else,28,else
"if strategy == 'bfs':
    return bfs(start, seen, is_goal, outgoing)
elif strategy == 'dfs':
    return dfs(start, seen, is_goal, outgoing)
elif","if strategy == 'bfs':
    return bfs(start, seen, is_goal, outgoing)
elif strategy == 'dfs':
    return dfs(start, seen, is_goal, outgoing)
else",0,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_elif,33,elif
"if (nums <= 30):
    return solver(count, total)
elif","if (nums <= 30):
    return solver(count, total)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,16,elif
"if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = advance
else","if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = advance
elif",1,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_else,14,else
"if program_dir == 0:
    program_dir = prev_dir
elif program_dir == 1:
    program_dir = pos_dir
elif","if program_dir == 0:
    program_dir = prev_dir
elif program_dir == 1:
    program_dir = pos_dir
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,28,elif
"if eval(problem) == prediction:
    print(""clear"")
elif","if eval(problem) == prediction:
    print(""clear"")
else",0,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_elif,24,elif
"if end is None:
    finish = (rows-1, self.num_cols-1)
else","if end is None:
    finish = (rows-1, self.num_cols-1)
elif",1,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_else,30,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{item}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{item}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,17,else
"if end is None:
    goal = (self.num_rows-1, maze_cols-1)
elif","if end is None:
    goal = (self.num_rows-1, maze_cols-1)
else",0,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_elif,4,elif
"if strategy == 'bfs':
    return bfs(start, visited, done_test, successors)
elif strategy == 'dfs':
    return dfs(start, visited, done_test, successors)
else","if strategy == 'bfs':
    return bfs(start, visited, done_test, successors)
elif strategy == 'dfs':
    return dfs(start, visited, done_test, successors)
elif",1,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_else,20,else
"if label_counts[value.topic] >= target_size:
    redistribute_nodes.append(value)
elif","if label_counts[value.topic] >= target_size:
    redistribute_nodes.append(value)
else",0,2,"if [COUNT_MAP][[NODE_VAR].topic] >= [TARGET_VAR]:
    [REDIST_LIST].append([NODE_VAR])
else",append_guard_elif,6,elif
"if character in string:
    front, back = string.split(character, 1)
elif","if character in string:
    front, back = string.split(character, 1)
else",0,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_elif,36,elif
"if root_id not in family_stats:
    family_stats[root_id] = (weight, sample_count)
elif","if root_id not in family_stats:
    family_stats[root_id] = (weight, sample_count)
else",0,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_elif,35,elif
"if strategy == 'bfs':
    return bfs(start, seen, is_goal, outgoing)
elif strategy == 'dfs':
    return dfs(start, seen, is_goal, outgoing)
else","if strategy == 'bfs':
    return bfs(start, seen, is_goal, outgoing)
elif strategy == 'dfs':
    return dfs(start, seen, is_goal, outgoing)
elif",1,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_else,33,else
