clean,corrupted,correct_answer,correct_idx,incorrect_answer,incorrect_idx,template_idx,template_text,template_label,variant_idx,quote_style
"if degree not in range(3, cols-1):
    print(""Degree should be in the range [3, cols-1]","if degree not in range(3, cols-1):
    print('Degree should be in the range [3, cols-1]",""")",1644,'),956,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_d,12,double
"for match in candidate_pool:
    if len(match) == 0:
        print(""invalid","for match in candidate_pool:
    if len(match) == 0:
        print('invalid",""")",1644,'),956,11,"for [ITEM_VAR] in [ITEM_SET]:
    if len([ITEM_VAR]) == 0:
        print('invalid",for_loop_d,32,double
"for match in result_queue:
    if len(match) == 0:
        print('invalid","for match in result_queue:
    if len(match) == 0:
        print(""invalid",'),956,""")",1644,11,"for [ITEM_VAR] in [ITEM_SET]:
    if len([ITEM_VAR]) == 0:
        print('invalid",for_loop_s,34,single
"         if alt < min_cost.get(node, float('inf","         if alt < min_cost.get(node, float(""inf",'),956,""")",1644,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_s,21,single
"raise ValueError(""Broken token stream",raise ValueError('Broken token stream,""")",1644,'),956,6,raise ValueError('[ERROR_TEXT],raise_error_d,21,double
"         if alt < route_map.get(vertex, float('inf","         if alt < route_map.get(vertex, float(""inf",'),956,""")",1644,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_s,34,single
"         if alt < dist.get(v, float('inf","         if alt < dist.get(v, float(""inf",'),956,""")",1644,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_s,0,single
"if degree not in range(3, max_n-1):
    print(""Degree should be in the range [3, max_n-1]","if degree not in range(3, max_n-1):
    print('Degree should be in the range [3, max_n-1]",""")",1644,'),956,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_d,7,double
"def main():
    tree = gt.tx_graph()
    tree.read_data(""route_data.csv","def main():
    tree = gt.tx_graph()
    tree.read_data('route_data.csv",""")",1644,'),956,13,"def main():
    [GRAPH_VAR] = gt.tx_graph()
    [GRAPH_VAR].read_data('[GRAPH_FILE]",method_call_d,25,double
print('Optimized Thread Usage.,"print(""Optimized Thread Usage.",'),956,""")",1644,2,print('[USAGE_TEXT],print_stmt_2_s,5,single
"              print(""no more queued points",              print('no more queued points,""")",1644,'),956,12,              print('[STATUS_TEXT],print_stmt_4_d,39,double
  print('Distance from base.,"  print(""Distance from base.",'),956,""")",1644,1,  print('[PRINT_TEXT],print_stmt_1_s,9,single
"         if alt < costs.get(node, float('inf","         if alt < costs.get(node, float(""inf",'),956,""")",1644,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_s,6,single
"def convert_to_set(segment):
    left, finish = segment.split(""-","def convert_to_set(segment):
    left, finish = segment.split('-",""")",1644,'),956,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_d,23,double
"def convert_to_set(activity):
    start, end = activity.split('-","def convert_to_set(activity):
    start, end = activity.split(""-",'),956,""")",1644,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_s,0,single
"for vertex in batch_data:
    for entry in vertex:
        if(entry == ()):
            print(""No entry at the current iteration","for vertex in batch_data:
    for entry in vertex:
        if(entry == ()):
            print('No entry at the current iteration",""")",1644,'),956,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_d,13,double
    log_token = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,"    log_token = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",'),956,""")",1644,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_s,21,single
"for vertex in node_data:
    for entry in vertex:
        if(entry == ()):
            print(""No entry at the current iteration","for vertex in node_data:
    for entry in vertex:
        if(entry == ()):
            print('No entry at the current iteration",""")",1644,'),956,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_d,5,double
"              print(""no more unsolved cases",              print('no more unsolved cases,""")",1644,'),956,12,              print('[STATUS_TEXT],print_stmt_4_d,10,double
"project = Project(""Project C",project = Project('Project C,""")",1644,'),956,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_d,2,double
"if degree not in range(3, block-1):
    print(""Degree should be in the range [3, block-1]","if degree not in range(3, block-1):
    print('Degree should be in the range [3, block-1]",""")",1644,'),956,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_d,28,double
print('Tracked Parser Usage.,"print(""Tracked Parser Usage.",'),956,""")",1644,2,print('[USAGE_TEXT],print_stmt_2_s,28,single
"package = Project(""Project D",package = Project('Project D,""")",1644,'),956,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_d,33,double
"if degree not in range(3, slots-1):
    print(""Degree should be in the range [3, slots-1]","if degree not in range(3, slots-1):
    print('Degree should be in the range [3, slots-1]",""")",1644,'),956,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_d,16,double
print('Result Question 5.,"print(""Result Question 5.",'),956,""")",1644,3,print('[QUESTION_TEXT],print_stmt_3_s,14,single
"print(""Prompt Query 1.",print('Prompt Query 1.,""")",1644,'),956,3,print('[QUESTION_TEXT],print_stmt_3_d,28,double
"  print(""Path from origin.",  print('Path from origin.,""")",1644,'),956,1,  print('[PRINT_TEXT],print_stmt_1_d,24,double
"def convert_to_set(segment):
    begin, upper = segment.split('-","def convert_to_set(segment):
    begin, upper = segment.split(""-",'),956,""")",1644,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_s,30,single
"for vertex in cluster_data:
    for entry in vertex:
        if(entry == ()):
            print('No entry at the current iteration","for vertex in cluster_data:
    for entry in vertex:
        if(entry == ()):
            print(""No entry at the current iteration",'),956,""")",1644,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_s,17,single
"def convert_to_set(activity):
    left, end = activity.split(""-","def convert_to_set(activity):
    left, end = activity.split('-",""")",1644,'),956,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_d,4,double
pipeline = Project('Project A,"pipeline = Project(""Project A",'),956,""")",1644,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_s,20,single
"print(""Optimized Module Usage.",print('Optimized Module Usage.,""")",1644,'),956,2,print('[USAGE_TEXT],print_stmt_2_d,6,double
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    ranges.append(""Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    ranges.append('Invalid Input",""")",1644,'),956,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_d,36,double
"clear_layout(""matrix_file.txt",clear_layout('matrix_file.txt,""")",1644,'),956,7,[FUNC_NAME]('[FILE_NAME],function_call_d,35,double
package = Project('Project D,"package = Project(""Project D",'),956,""")",1644,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_s,33,single
print('Output Case 3.,"print(""Output Case 3.",'),956,""")",1644,3,print('[QUESTION_TEXT],print_stmt_3_s,7,single
"         if alt < score_map.get(neighbor, float(""inf","         if alt < score_map.get(neighbor, float('inf",""")",1644,'),956,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_d,38,double
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    signals.append('Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    signals.append(""Invalid Input",'),956,""")",1644,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_s,12,single
